Kabupaten/Kota,Tahun,Total Produksi Sampah
3201,2015,1511.15
3202,2015,419.01
3203,2015,981.41
3204,2015,1895.94
3205,2015,464.74
3206,2015,464.52
3207,2015,260.91
3208,2015,251.7
3209,2015,465.75
3210,2015,254.63
3211,2015,237.96
3212,2015,613.18
3213,2015,487.26
3214,2015,308.96
3215,2015,869.86
3216,2015,1228.6
3217,2015,616.08
3218,2015,185.83
3271,2015,991.93
3272,2015,309.91
3273,2015,2448.63
3274,2015,304.15
3275,2015,2387.08
3276,2015,1844.3
3277,2015,563.21
3278,2015,472.36
3279,2015,130.21
3201,2016,1511.15
3202,2016,419.01
3203,2016,981.41
3204,2016,1895.94
3205,2016,464.74
3206,2016,464.52
3207,2016,260.91
3208,2016,251.7
3209,2016,465.75
3210,2016,254.63
3211,2016,237.96
3212,2016,613.18
3213,2016,487.26
3214,2016,308.96
3215,2016,869.86
3216,2016,1228.6
3217,2016,616.08
3218,2016,185.83
3271,2016,991.93
3272,2016,309.91
3273,2016,2448.63
3274,2016,304.15
3275,2016,2387.08
3276,2016,1844.3
3277,2016,563.21
3278,2016,472.36
3279,2016,130.21
3201,2017,1511.15
3202,2017,419.01
3203,2017,981.41
3204,2017,1895.94
3205,2017,464.74
3206,2017,464.52
3207,2017,260.91
3208,2017,251.7
3209,2017,465.75
3210,2017,254.63
3211,2017,237.96
3212,2017,613.18
3213,2017,487.26
3214,2017,308.96
3215,2017,869.86
3216,2017,1228.6
3217,2017,616.08
3218,2017,185.83
3271,2017,991.93
3272,2017,309.91
3273,2017,2448.63
3274,2017,304.15
3275,2017,2387.08
3276,2017,1844.3
3277,2017,563.21
3278,2017,472.36
3279,2017,130.21
3201,2018,1716.8
3202,2018,415.5
3203,2018,965.19
3204,2018,2068.06
3205,2018,473.89
3206,2018,458.45
3207,2018,263.01
3208,2018,248.52
3209,2018,466.25
3210,2018,249.26
3211,2018,236.12
3212,2018,603.11
3213,2018,498.7
3214,2018,323.87
3215,2018,896.85
3216,2018,1600.71
3217,2018,663.54
3218,2018,171.21
3271,2018,1069.41
3272,2018,318.12
3273,2018,2441.12
3274,2018,308.37
3275,2018,2858.6
3276,2018,2272.07
3277,2018,592.62
3278,2018,465.23
3279,2018,128.34
3201,2019,2914.65
3202,2019,1003.64
3203,2019,1115.81
3204,2019,1334.12
3205,2019,1144.01
3206,2019,753.06
3207,2019,560.57
3208,2019,537.25
3209,2019,3.15
3210,2019,515.7
3211,2019,436.96
3212,2019,1071.05
3213,2019,1012.45
3214,2019,384.43
3215,2019,934.4
3216,2019,2590.0
3217,2019,1124.5
3218,2019,250.23
3271,2019,620.55
3272,2019,172.82
3273,2019,1575.73
3274,2019,245.0
3275,2019,2060.7
3276,2019,1469.77
3277,2019,267.74
3278,2019,291.6
3279,2019,100.67
3201,2020,2977.0
3202,2020,1006.0
3203,2020,1117.0
3204,2020,1355.0
3205,2020,1151.0
3206,2020,754.0
3207,2020,564.0
3208,2020,540.0
3209,2020,1096.0
3210,2020,518.0
3211,2020,438.0
3212,2020,1077.0
3213,2020,1023.0
3214,2020,388.0
3215,2020,942.0
3216,2020,2258.0
3217,2020,1135.0
3218,2020,252.0
3271,2020,567.0
3272,2020,181.0
3273,2020,1630.0
3274,2020,192.0
3275,2020,1923.0
3276,2020,1516.0
3277,2020,369.0
3278,2020,285.0
3279,2020,79.0
3201,2021,971.59
3202,2021,356.02
3203,2021,355.69
3204,2021,1489.04
3205,2021,321.17
3206,2021,172.26
3207,2021,159.41
3208,2021,405.76
3209,2021,242.52
3210,2021,546.54
3211,2021,707.75
3212,2021,792.48
3213,2021,739.6
3214,2021,239.72
3215,2021,614.61
3216,2021,1193.76
3217,2021,201.09
3218,2021,46.62
3271,2021,719.72
3272,2021,232.06
3273,2021,1529.04
3274,2021,229.75
3275,2021,1500.77
3276,2021,1418.87
3277,2021,193.36
3278,2021,295.87
3279,2021,60.29
3201,2022,
3202,2022,
3203,2022,
3204,2022,
3205,2022,
3206,2022,
3207,2022,
3208,2022,
3209,2022,
3210,2022,
3211,2022,
3212,2022,
3213,2022,
3214,2022,
3215,2022,
3216,2022,
3217,2022,
3218,2022,
3271,2022,
3272,2022,
3273,2022,
3274,2022,
3275,2022,
3276,2022,
3277,2022,
3278,2022,
3279,2022,
3201,2023,
3202,2023,
3203,2023,
3204,2023,
3205,2023,
3206,2023,
3207,2023,
3208,2023,
3209,2023,
3210,2023,
3211,2023,
3212,2023,
3213,2023,
3214,2023,
3215,2023,
3216,2023,
3217,2023,
3218,2023,
3271,2023,
3272,2023,
3273,2023,
3274,2023,
3275,2023,
3276,2023,
3277,2023,
3278,2023,
3279,2023,
